id,Sexo,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,M,ITI,4,3,5,5,4,1,5,4,4,5,3,1,4,5,4,3,3,4,5,3,3,4,4,1,3,5,3,5,2,4,3,4,4,2,2,2,4,4,2,4,4,1
2,F,ITI,2,5,4,2,2,1,3,2,4,4,5,4,5,4,5,3,2,5,2,5,3,1,5,5,4,1,2,4,4,4,5,5,3,3,1,2,4,4,5,3,5,5
3,F,LAF,5,5,5,3,2,1,5,3,5,5,3,2,5,5,5,3,2,5,5,2,4,4,3,2,4,5,5,5,2,3,5,4,5,2,2,2,5,5,4,1,3,5
4,M,INT,3,4,3,3,4,3,4,4,4,4,4,3,4,4,5,2,3,2,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,4,2,2,5,4,3,2,3,3
5,M,LAF,3,4,4,1,5,3,4,3,5,4,4,4,4,4,4,5,4,4,5,3,4,1,4,5,4,3,4,4,4,4,2,4,4,4,4,5,4,4,5,4,4,4
6,M,IQA,3,5,4,1,5,5,2,5,5,5,5,1,5,5,4,4,5,1,1,1,5,1,5,5,1,5,1,1,5,5,5,5,1,2,4,5,5,5,5,3,5,5
7,F,ARQ,2,5,5,1,4,3,5,3,5,4,4,3,5,4,5,5,3,2,5,3,3,3,4,4,4,3,2,3,3,4,5,4,2,3,3,5,5,4,3,3,4,4
8,M,LAEt,2,4,4,3,5,4,2,2,3,4,4,4,4,4,5,4,4,4,2,4,1,3,3,3,3,1,3,3,4,4,2,4,4,2,5,4,4,4,3,4,4,5
9,F,MBI,2,5,5,1,2,1,5,5,5,4,5,3,5,2,5,3,5,4,5,4,3,3,5,1,5,5,4,5,3,5,1,3,5,2,1,1,5,3,4,3,4,5
10,F,IBT,3,4,4,2,3,2,5,4,5,5,3,3,4,3,5,3,3,5,5,3,4,2,4,3,2,5,4,5,3,3,3,3,2,3,2,3,4,5,2,3,3,4
11,F,LAD,1,5,3,1,5,1,3,1,3,3,5,1,3,3,3,1,3,5,5,2,3,3,3,5,5,5,1,3,5,1,3,4,3,3,1,1,3,1,1,1,3,1
12,M,ITI,3,3,2,2,4,1,2,5,5,5,5,5,5,4,5,3,4,5,3,5,5,2,3,3,4,4,2,5,5,1,3,5,2,5,3,4,1,5,5,5,5,4
13,F,IBT,5,5,4,1,5,4,3,3,5,5,5,3,5,5,5,5,3,2,5,4,3,2,3,3,2,5,4,5,4,3,4,5,4,4,3,3,5,5,2,5,4,5
14,F,ISC,5,4,5,3,1,5,4,4,5,4,4,2,1,5,3,4,2,4,2,5,4,3,2,4,1,2,3,3,5,3,5,2,3,2,4,4,4,1,3,2,5,4
15,F,IMT,4,4,3,2,3,5,4,4,5,5,3,3,5,3,3,5,4,2,4,3,4,4,4,5,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
16,F,ITI,4,3,3,2,3,2,5,4,5,5,4,2,5,4,5,2,4,3,4,3,4,3,4,2,4,5,3,5,3,3,4,3,2,3,2,2,4,4,2,3,3,3
17,M,ISD,5,4,5,4,5,5,5,4,4,4,5,4,5,4,5,5,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,4
18,F,IBT,5,5,5,1,5,3,5,5,5,2,4,5,5,5,5,5,4,5,5,5,5,2,4,4,3,4,4,4,5,5,5,4,4,3,4,5,5,3,5,3,5,5
19,M,IMT,5,3,4,2,3,3,5,4,4,4,3,4,3,4,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20,M,ISC,3,4,2,5,5,1,4,4,2,2,4,2,5,3,3,1,3,3,5,3,3,2,5,1,4,4,2,3,4,4,5,5,1,2,3,4,5,4,4,2,5,1
21,F,ITI,3,4,2,3,2,1,3,3,1,5,3,1,1,3,4,1,2,1,1,1,3,5,3,5,1,4,4,3,5,1,5,4,3,1,5,2,4,4,4,4,2,2
22,M,IFI,1,5,5,2,4,5,5,5,5,1,5,4,3,3,5,5,5,3,4,5,4,1,5,2,1,2,3,5,5,5,1,3,5,3,5,5,3,5,2,1,5,5
23,F,IA,5,2,4,3,3,1,5,4,5,4,4,2,3,4,1,1,2,3,5,3,3,4,3,2,4,3,4,5,1,2,1,5,2,3,1,2,3,5,4,4,4,3
24,F,LAD,2,4,3,4,5,1,4,5,5,2,5,1,5,5,5,2,5,4,5,4,2,4,5,2,5,5,1,5,5,4,5,5,2,4,2,4,5,5,1,2,5,5
25,M,ITI,5,2,5,1,2,4,5,5,5,5,4,3,5,1,5,1,3,5,5,1,5,2,3,3,3,5,3,3,3,3,3,3,5,3,3,5,2,4,1,3,3,1
26,F,LAF,4,4,5,3,2,2,3,3,5,4,3,1,4,5,4,3,4,2,3,1,2,3,3,1,3,4,3,4,2,2,4,5,2,2,1,2,5,5,2,2,3,5
27,F,ITI,1,5,4,1,3,1,4,5,4,3,4,2,5,3,4,2,3,3,4,3,5,2,5,1,2,5,1,5,2,2,5,5,4,1,2,2,5,5,2,1,5,2
28,M,Isc,3,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,2,3,2,5,5,3,2,3,4,1,1,4,3,4,3,5,1,2,3,1,1,5
29,F,ITI,4,3,5,2,1,4,3,2,5,1,5,4,5,5,5,4,3,5,4,3,4,4,5,4,3,4,5,4,5,3,5,4,5,4,5,5,4,3,5,4,4,5
30,M,ITC,4,4,4,2,5,3,5,5,5,5,4,2,5,4,3,3,4,2,3,4,5,1,4,2,2,3,2,5,4,3,2,3,4,4,2,4,5,5,2,1,5,4
31,M,ISC,1,4,4,3,1,1,5,4,3,4,2,2,5,5,5,3,4,5,5,2,3,3,4,1,2,3,1,5,3,2,5,4,3,3,2,1,5,5,2,3,3,3
32,M,IMT,2,5,4,3,3,2,5,3,5,3,2,2,5,5,4,3,2,3,4,3,4,4,2,2,2,5,2,5,4,4,5,5,3,3,3,4,5,5,3,2,4,2
33,F,ITI,3,5,5,1,3,1,5,5,5,5,5,1,3,5,5,1,5,3,5,5,5,1,5,5,1,5,3,5,5,5,2,5,3,1,1,2,5,3,2,1,1,5
34,M,ITI,4,1,3,5,4,1,1,4,2,2,4,1,4,5,2,3,3,3,1,4,1,5,4,1,5,1,1,3,2,2,4,5,1,1,2,1,5,5,1,3,4,5
35,M,ITC,4,3,2,5,5,1,4,5,3,1,5,1,4,5,3,2,5,1,5,5,5,2,5,1,3,5,3,5,4,5,5,5,1,1,2,5,4,5,2,3,5,1
36,F,ITI,5,4,3,5,1,3,3,3,3,4,2,1,5,5,5,4,2,2,2,2,1,5,3,1,3,4,1,1,1,3,5,5,3,4,2,1,5,4,4,3,3,5
37,M,ISC,3,5,5,3,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,M,ITC,3,3,4,1,3,2,4,4,5,5,5,2,5,4,4,2,2,2,4,3,2,2,4,3,2,4,1,4,2,3,3,3,3,2,2,2,4,3,2,3,4,4
39,M,ITI,5,5,5,3,3,1,4,4,5,1,1,4,5,4,5,1,5,3,3,2,3,3,3,3,3,4,5,4,4,3,3,3,5,2,3,2,3,3,4,3,3,3
40,M,ITC,2,1,1,5,2,1,5,5,3,2,2,1,3,5,5,1,2,2,1,2,3,5,2,1,5,5,5,5,2,2,4,5,1,1,1,1,2,1,1,1,3,1
41,M,ITI,5,3,3,2,3,1,4,3,4,4,2,2,4,4,3,1,2,3,1,1,2,3,4,2,3,5,4,4,3,4,2,3,4,4,2,3,5,4,3,4,4,5
42,M,ITI,3,3,4,2,5,2,5,5,5,2,5,2,3,3,5,5,4,3,5,3,2,1,5,2,5,5,1,4,2,3,2,4,2,1,3,2,4,5,1,1,5,2
43,M,ITI,4,5,5,2,5,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,3,5,5,3,4,4,5,4,4,4,5,4,4,3,2,5,4,4,3,5,4
44,M,IFI,2,4,3,3,4,2,3,5,4,4,4,2,4,4,5,4,3,2,4,4,2,1,4,2,3,3,2,4,4,4,4,5,2,3,2,3,4,4,2,2,4,2
45,M,IID,5,5,2,5,5,1,4,5,3,5,4,2,5,1,5,5,3,1,2,5,2,5,5,1,5,5,1,5,4,2,1,5,1,5,2,1,5,5,1,2,5,1
46,M,ITI,2,4,1,3,5,5,3,5,3,4,5,2,3,5,5,4,5,3,5,5,5,3,5,3,4,5,3,5,5,5,2,5,2,4,4,4,5,5,3,5,5,2
47,M,IID,4,4,4,3,5,2,5,5,4,5,4,3,4,3,5,5,4,3,5,4,4,1,5,3,2,3,2,5,4,4,4,5,3,1,3,4,3,4,4,2,4,2
48,M,LIN,5,4,5,3,2,1,1,2,4,3,5,5,4,3,3,2,1,5,4,4,3,3,2,1,5,4,3,3,4,1,5,5,4,3,2,5,2,5,4,4,5,5
49,M,ITI,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
50,M,IID,2,2,2,2,4,1,4,4,2,4,4,2,1,3,4,4,2,1,1,2,5,3,4,1,2,4,2,5,4,4,2,4,2,1,1,4,1,2,1,1,4,1
51,M,ITC,1,1,1,5,3,2,3,5,5,5,5,1,1,5,5,3,5,1,5,1,1,1,3,1,5,5,1,5,4,5,1,1,1,1,4,1,3,2,1,3,4,1
52,F,ITI,4,5,3,2,3,1,5,4,4,5,4,1,4,5,4,1,4,2,5,5,3,3,4,1,2,4,3,5,2,4,4,4,1,3,1,3,5,4,1,1,4,2
53,M,Imt ,3,4,4,3,3,2,3,4,4,4,5,2,3,3,5,4,3,3,4,4,4,3,4,2,2,4,3,4,4,4,2,3,2,2,3,3,4,4,3,2,3,2
54,F,IMT,5,5,4,2,3,2,5,4,4,5,5,2,5,5,4,5,4,2,5,4,4,5,5,1,5,5,3,5,3,3,2,5,3,2,2,3,5,5,4,2,3,3
